연도,계절,일유형,시간,고객당평균_kWh
2025,겨울,주중,19,0.9667653514502218
2025,겨울,주중,20,1.0232381434544031
2025,겨울,주중,21,1.0248480696367908
2025,겨울,주중,22,1.008654298406062
2025,겨울,주중,23,0.9545584498301516
2025,겨울,주중,24,0.8464755030049655
2025,겨울,주말,1,0.7320474636483808
2025,겨울,주말,2,0.6472952329808324
2025,겨울,주말,3,0.5906721331791142
2025,겨울,주말,4,0.5563328651685387
2025,겨울,주말,5,0.543925024785195
2025,겨울,주말,6,0.554287136483807
2025,겨울,주말,7,0.5849701338400528
2025,겨울,주말,8,0.6574949603436876
2025,겨울,주말,9,0.7343454230006627
2025,겨울,주말,10,0.7539846331791161
2025,겨울,주말,11,0.7516368142762696
2025,겨울,주말,12,0.7262404990085911
2025,겨울,주말,13,0.7301464805023129
2025,겨울,주말,14,0.7046833691341723
2025,겨울,주말,15,0.6952939111037679
2025,겨울,주말,16,0.7011796513549237
2025,겨울,주말,17,0.7504227115003297
2025,겨울,주말,18,0.8569803783873103
2025,겨울,주말,19,0.9780221001321862
2025,겨울,주말,20,1.0002946959682786
2025,겨울,주말,21,1.0044336169861174
2025,겨울,주말,22,0.9867127395902147
2025,겨울,주말,23,0.934574644745538
2025,겨울,주말,24,0.8348590548578997
