고객ID,연도,월,추천요금제,일반 주택용_요금원,제주 TOU(3kW)_요금원,구독 기본형_요금원,구독 프리미엄형_요금원
M0992,2024,10,일반 주택용,65184.4727576,74615.4878028,84900,249900
M0992,2024,11,구독 기본형,93026.55583060002,104135.6718472,84900,249900
M0992,2024,12,구독 기본형,166710.0706453,146654.68910609998,141852.9,249900
M0992,2025,1,제주 TOU(3kW),196628.5761601,166322.29699329997,167769.3,249900
M0992,2025,2,구독 기본형,165421.04117909996,146702.73739869997,140736.29999999996,249900
M0992,2025,3,제주 TOU(3kW),137103.60584759995,108617.80764799997,116206.79999999996,249900
M0992,2025,4,구독 기본형,91303.57850809999,86019.3488056,84900,249900
M0992,2025,5,일반 주택용,71794.1061894,78477.44023699997,84900,249900
M0992,2025,6,일반 주택용,76319.6819798,95887.35370549999,84900,249900
M0992,2025,7,일반 주택용,50875.83417000001,91006.13345530003,84900,249900
M0992,2025,8,일반 주택용,110650.76744749997,138462.46006389998,127642.49999999997,249900
M0992,2025,9,구독 기본형,92642.82540379997,88326.97124019997,84900,249900
M0992,2025,10,일반 주택용,66997.41184079999,75874.0064488,84900,249900
M0992,2025,11,일반 주택용,74721.267572,94885.7041678,84900,249900
M0992,2025,12,구독 기본형,105772.43209189999,110842.0865167,89066.69999999998,249900
M0995,2024,1,제주 TOU(3kW),245668.147193,186309.52489799997,210249.0,249900
M0995,2024,2,제주 TOU(3kW),265512.69002299994,196388.06162499997,227438.99999999994,249900
M0995,2024,3,제주 TOU(3kW),244868.82424619998,156454.3890154,209556.59999999998,249900
M0995,2024,4,제주 TOU(3kW),195809.85889570008,134103.15317560002,167060.10000000006,249900
M0995,2024,5,제주 TOU(3kW),188238.45583550003,129634.5884834,160501.5,249900
M0995,2024,6,제주 TOU(3kW),312652.3105853,222558.6715009,268272.9,268272.89999999997
M0995,2024,7,제주 TOU(3kW),382549.74970590003,327416.6579341,426353.7,426353.7
M0995,2024,8,제주 TOU(3kW),358253.4326805,312975.11764609994,399661.4999999999,399661.4999999999
M0995,2024,9,제주 TOU(3kW),437517.4295463999,252878.07785099998,376435.19999999995,376435.19999999995
M0995,2024,10,제주 TOU(3kW),266958.25933840004,168946.51547900002,228691.2,249900
M0995,2024,11,제주 TOU(3kW),244066.38435550008,185377.74778250005,208861.50000000006,249900
M0995,2024,12,제주 TOU(3kW),236164.931569,180204.36281259998,202017.0,249900
M0995,2025,1,제주 TOU(3kW),212600.14303080007,165755.08679660002,181604.40000000005,249900
M0995,2025,2,제주 TOU(3kW),236273.33195130003,181241.4614591,202110.90000000002,249900
M0995,2025,3,제주 TOU(3kW),226207.68111690003,148727.98108,193391.7,249900
M0995,2025,4,제주 TOU(3kW),164201.2771329,118442.84353160001,139679.7,249900
M0995,2025,5,제주 TOU(3kW),209950.04806159993,141364.11461899997,179308.79999999993,249900
M0995,2025,6,제주 TOU(3kW),245137.22774869998,185127.42733309997,209789.09999999998,249900
M0995,2025,7,제주 TOU(3kW),242468.13155949998,226357.52027489996,272458.5,272458.5
M0995,2025,8,제주 TOU(3kW),323767.9763878001,283491.43701900006,361775.4000000001,361775.40000000014
M0995,2025,9,제주 TOU(3kW),301920.67273760005,185785.7773436,258976.80000000002,258976.80000000002
M0995,2025,10,제주 TOU(3kW),188431.01370309998,129948.82313139999,160668.3,249900
M0995,2025,11,구독 기본형,127034.49174219999,116337.57191839998,107484.59999999998,249900
M0995,2025,12,제주 TOU(3kW),209010.11631220003,160944.8533462,178494.60000000003,249900
M0998,2024,1,제주 TOU(3kW),433912.51076250005,291497.05593609996,373312.5,373312.5
M0998,2024,2,구독 기본형,97990.46215490003,97326.9898167,84900,249900
M0998,2024,3,제주 TOU(3kW),193493.969578,129756.74897219999,165054.0,249900
M0998,2024,4,제주 TOU(3kW),114590.95903920001,94301.5530198,96705.6,249900
M0998,2024,5,일반 주택용,56485.94460040001,65709.70750120001,84900,249900
M0998,2024,6,일반 주택용,64306.54201159999,80981.68540279998,84900,249900
M0998,2024,7,일반 주택용,39841.791906,72700.05066169999,84900,249900
M0998,2024,8,일반 주택용,21901.96022,47438.219775800004,84900,249900
M0998,2024,9,일반 주택용,67152.19852880001,73439.62514,84900,249900
M0998,2024,10,일반 주택용,25315.891160000003,43694.311124800006,84900,249900
M0998,2024,11,일반 주택용,16456.72448,36127.8463532,84900,249900
M0998,2024,12,제주 TOU(3kW),513336.0509326001,342458.07248519995,442111.80000000005,442111.80000000005
M0998,2025,1,제주 TOU(3kW),285275.8459845,210841.98166989998,244558.50000000003,249900
M0998,2025,2,제주 TOU(3kW),540151.1193043,361281.08076409996,465339.9,465339.9
M0998,2025,3,제주 TOU(3kW),250413.17479010005,161011.89587140002,214359.30000000002,249900
M0998,2025,4,제주 TOU(3kW),111450.81122349999,92445.42977599998,93985.49999999997,249900
M0998,2025,5,제주 TOU(3kW),128844.74349390001,102146.69694180001,109052.70000000001,249900
M0998,2025,6,구독 기본형,126688.85729640005,117705.64803760001,107185.20000000004,249900
