고객ID,2024관측일수,2025관측일수,2024시간값완전도,2025시간값완전도,2개년핵심표본
M0582,91,365,0.989010989010989,0.9969178082191781,N
M0583,366,365,0.9986338797814208,0.9958904109589041,Y
M0584,366,365,0.9985200364298725,0.9982876712328768,Y
M0585,366,365,0.998747723132969,0.9985159817351598,Y
M0586,366,365,0.998747723132969,0.9984018264840183,Y
M0587,366,365,0.9990892531876139,0.9987442922374429,Y
M0588,366,365,0.998747723132969,0.9984018264840183,Y
M0589,366,365,0.9985200364298725,0.9986301369863013,Y
M0590,366,365,0.9981785063752276,0.9985159817351598,Y
M0591,366,365,0.998747723132969,0.9984018264840183,Y
M0592,366,365,0.998747723132969,0.9984018264840183,Y
M0593,356,326,0.9966058052434457,0.994120654396728,N
M0594,366,365,0.9986338797814208,0.9984018264840183,Y
M0595,366,365,0.9986338797814208,0.9985159817351598,Y
M0596,302,365,0.9886865342163356,0.9988584474885844,N
M0597,366,365,0.9912340619307832,0.9896118721461187,N
M0598,366,365,0.998747723132969,0.9984018264840183,Y
M0599,145,365,0.9954022988505747,0.9968036529680365,N
M0600,296,365,0.9942286036036037,0.9984018264840183,N
M0601,296,365,0.9942286036036037,0.9984018264840183,N
M0602,366,365,0.9982923497267759,0.9985159817351598,Y
M0603,366,365,0.998747723132969,0.9984018264840183,Y
M0604,366,365,0.998747723132969,0.9984018264840183,Y
M0605,96,363,0.9813368055555556,0.9962121212121212,N
M0606,366,365,0.9982923497267759,0.9984018264840183,Y
M0607,366,365,0.9985200364298725,0.9985159817351598,Y
M0608,366,365,0.9985200364298725,0.9981735159817352,Y
M0609,5,365,1.0,0.9969178082191781,N
M0610,5,365,1.0,0.9968036529680365,N
M0611,366,365,0.998747723132969,0.9981735159817352,Y
M0612,366,365,0.9989754098360656,0.9982876712328768,Y
M0613,366,365,0.998747723132969,0.9982876712328768,Y
M0614,366,365,0.9985200364298725,0.9984018264840183,Y
M0615,366,365,0.9985200364298725,0.9986301369863013,Y
M0616,366,365,0.9985200364298725,0.9982876712328768,Y
M0617,366,365,0.998747723132969,0.9982876712328768,Y
M0618,366,365,0.9321493624772313,0.9984018264840183,N
M0619,365,365,0.9893835616438356,0.991324200913242,N
M0620,366,365,0.9985200364298725,0.9980593607305936,Y
M0621,366,365,0.9986338797814208,0.9985159817351598,Y
